"Cousre Title","Topics ","PPT's","reading material"
"HTML","Introduction to html","https://www.slideshare.net/vijayanit/html-ppt-4416063","https://www.w3schools.com/html/html_basic.asp"
"","HTML elements","","https://www.w3schools.com/html/html_elements.asp"
"","HTML attributes","","https://www.w3schools.com/html/html_attributes.asp"
"","HTML forms","","https://www.w3schools.com/html/html_forms.asp"
"","HTML Links","","https://www.w3schools.com/html/html_links.asp"
"","HTML classes and id","","https://www.w3schools.com/html/html_classes.asp"
"CSS","intoduction to css","https://www.slideshare.net/webdevninja/introduction-to-css-13603389","https://www.w3schools.com/css/css_intro.asp"
"","CSS selectors","","https://www.w3schools.com/css/css_selectors.asp"
"","CSS margin and Padding","","https://www.w3schools.com/css/css_margin.asp"
"","CSS links","","https://www.w3schools.com/css/css_link.asp"
"","CSS display Flex/Grid","","https://www.w3schools.com/css/css3_flexbox.asp"
"","CSS Positions","","https://www.w3schools.com/css/css_positioning.asp"
"JavaScript","Introduction to javascript","https://www.slideshare.net/mussawir20/javascript-presentation-698030?qid=cfeee325-e192-4797-9427-2e8b845e5293&v=&b=&from_search=2","https://developer.mozilla.org/en-US/docs/Web/javascript"
"","functions","","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Functions"
"","classes","","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Using_Classes"
"","promises","","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Using_promises"
"","control flow","","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling"
"","loops and iteration","","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Loops_and_iteration"
